name,date_of_birth,height,weight,spike,block,position_number,country,age
Mariana Moriondo,02/12/1995,173,69,268,260,3,2,25
Martina Guastavino,18/07/1995,180,70,285,275,3,2,25
Agnes Victoria Michel Tosi,01/07/1999,182,69,283,273,3,2,21
Sol Piccolo,11/09/1996,184,74,294,282,2,2,24
Anahi Florencia Tosi,10/07/1998,181,60,290,272,2,2,22
Irene Verasio,14/07/1996,178,59,283,271,2,2,24
Antonela Fortuna,10/05/1995,175,61,285,275,2,2,25
Micaela Esperon,02/04/1995,170,58,255,245,6,2,25
Camila Hiruela Tapia,01/02/1997,176,77,287,280,2,2,23
Daniela Bulaich Simian,05/09/1997,172,53,274,263,4,2,23
Bruna Costa,30/01/1995,170,65,276,275,1,10,25
Maira Cipriano Claro,07/03/1995,187,62,300,278,2,10,25
Lays Fernanda Oliveira De Freitas,13/10/1995,185,77,292,281,3,10,25
Ingrid Rizzatti,05/06/1997,187,65,295,280,3,10,23
Lorenne Teixeira,08/01/1996,185,73,295,283,4,10,24
Edinara Brancher,01/02/1996,186,80,295,285,2,10,24
Natália Araujo,10/04/1997,162,59,228,215,6,10,23
Mayany Souza,24/11/1996,185,62,293,282,3,10,24
Talia Costa,10/07/1997,178,64,290,281,2,10,23
Ralina Doshkova,07/06/1995,188,64,303,295,4,9,25
Mariya Dancheva,04/12/1995,195,73,314,302,3,9,25
Silvana Chausheva,19/05/1995,188,75,305,290,4,9,25
Meizi Gong,17/04/1995,175,75,280,270,6,5,25
Kailun Yan,17/07/1995,192,70,315,310,3,5,25
Ruilei Huang,08/05/1996,196,81,303,296,3,5,24
Yuezhou Zhu,27/03/1995,185,72,301,296,4,5,25
Meili Song,23/02/1995,186,75,310,300,2,5,25
Jiarui Yu,23/10/1997,180,74,295,290,1,5,23
Long Cheng,10/01/1995,185,75,305,295,1,5,25
Yanxi Lei,20/01/1995,186,70,310,305,3,5,25
Yunlu Wang,20/05/1996,192,82,310,301,2,5,24
Dayessi Luis Ruiz,23/10/1996,170,60,288,248,6,31,24
Yelennis Diaz Cairo,14/10/1995,189,71,300,298,3,31,25
Aya Elshamy,27/11/1995,186,77,297,279,4,29,25
Mariam Ahmed,05/09/1995,168,57,262,255,6,29,25
Doaa Abdelghany,21/06/1996,185,70,289,273,1,29,24
Farida El Askalany,14/02/1995,186,65,278,264,3,29,25
Doaa Elghobashy,08/11/1996,180,74,285,275,2,29,24
Lina Abdou,06/11/1996,173,65,282,262,2,29,24
Aya Ahmed,27/04/1996,183,68,270,262,3,29,24
Alaa Badawy,13/02/1996,174,70,188,176,3,29,24
Sarah Hanafy,15/04/1997,178,73,265,255,2,29,23
Misaki Yamauchi,10/03/1995,172,69,306,295,2,16,25
Nozomi Itoh,16/02/1995,178,70,306,295,3,16,25
Ayaka Sugi,14/02/1996,177,72,293,282,3,16,24
Nanaka Sakamoto,06/09/1996,176,65,304,294,2,16,24
Miki Sakurai,01/05/1996,169,62,275,265,1,16,24
Miwako Osanai,19/07/1997,174,66,293,270,2,16,23
Rei Kudo,05/12/1997,175,65,300,290,2,16,23
Yvone Wavinya,22/02/1996,175,63,280,230,2,33,24
Faith Imodia,19/09/1997,170,56,265,225,1,33,23
Doreen Marani,11/02/1996,170,70,270,220,2,33,24
Joan Ngeywo,05/06/1996,191,61,295,248,2,33,24
Caroline Sirengo,04/11/1997,179,70,280,240,3,33,23
Veronica Kilabat,19/03/1996,178,63,275,235,1,33,24
Edina Mwombe,05/06/1998,178,70,285,235,2,33,22
Celestine Nafula,09/07/1996,150,52,255,200,6,33,24
Anne Lowem,01/08/1996,180,72,290,242,4,33,24
Shyrine Jepkemboi,13/03/1996,180,69,285,240,3,33,24
Yvone Wafula Sinaida,17/07/1997,185,72,285,245,3,33,23
Beldine Akinyi,05/05/1996,190,76,285,248,3,33,24
Eva Mori,13/03/1996,186,67,305,275,1,35,24
Darja Erzen,20/06/1997,189,72,299,271,4,35,23
Ana Marija Vovk,29/03/1998,185,70,298,269,2,35,22
Pia Blazic,25/07/1998,180,67,294,266,2,35,22
Maja Pahor,23/12/1996,166,62,268,253,6,35,24
Iza Mlakar,14/11/1995,184,66,300,272,4,35,25
Lana Šcuka,06/10/1996,185,72,304,283,2,35,24
Ela Pintar,11/01/1996,182,58,293,268,3,35,24
Spela Marusic,01/08/1999,175,55,280,254,1,35,21
Saša Planinšec,02/06/1995,182,80,300,279,3,35,25
Anita Sobocan,26/05/1997,177,58,280,265,2,35,23
Tina Grudina,03/12/1995,182,67,300,270,3,35,25
Anisa Yotpinit,23/06/1998,162,58,245,265,6,34,22
Chutimon Sagon,02/10/1998,169,53,269,253,4,34,22
Wipawee Srithong,28/01/1999,174,65,288,266,2,34,21
Hathairat Jarat,09/02/1996,182,65,286,277,3,34,24
Tichakorn Boonlert,22/03/2001,180,78,294,283,3,34,19
Patcharaporn Sittisad,20/02/1996,165,52,278,263,2,34,24
Usa Daowern,26/01/2000,180,72,304,285,2,34,20
Thanacha Sooksod,26/05/2000,180,70,283,275,2,34,20
Watchareeya Nuanjam,22/07/1996,177,64,292,279,3,34,24
Natthanicha Jaisaen,21/05/1998,171,55,283,276,1,34,22
Parinya Pankaew,27/12/1995,170,59,281,269,1,34,25
