name,date_of_birth,age,height,weight,spike,block,age_in_2018
Lenka Dürr,10/12/1990,30,171,59,280.0,270,28
Pia Kästner,29/06/1998,22,182,68,297.0,286,20
Denise Hanke,31/08/1989,31,183,73,297.0,284,29
Maren Fromm,10/07/1986,34,184,68,303.0,295,32
Jana Franziska Poll,07/05/1988,32,185,69,310.0,290,30
Jennifer Geerties,05/04/1994,26,184,58,298.0,288,24
Kathleen Weiß,02/02/1984,36,171,66,290.0,273,34
Kimberly Drewniok,11/08/1997,23,188,73,311.0,298,21
Nele Barber,27/10/1994,26,183,55,290.0,280,24
Lena Stigrot,20/12/1994,26,184,68,303.0,295,24
Louisa Lippmann,23/09/1994,26,191,78,319.0,312,24
Hanna Orthmann,03/10/1998,22,188,74,302.0,291,20
Saskia Hippe,16/01/1991,29,185,67,315.0,292,27
Marie Schölzel,01/08/1997,23,188,66,307.0,299,21
Barbara Roxana Wezorke,12/04/1993,27,185,75,305.0,290,25
Lisa Thomsen,20/08/1985,35,172,68,290.0,285,33
Anna Pogany,21/07/1994,26,170,60,280.0,270,24
Leonie Schwertmann,12/01/1994,26,190,80,300.0,290,24
Juliane Langgemach,06/11/1994,26,188,73,295.0,285,24
Ivana Vanjak,30/05/1995,25,190,70,315.0,306,23
Lisa Gründing,02/12/1991,29,186,68,303.0,291,27
Denise Imoudu,14/12/1995,25,180,67,290.0,280,23
Miyu Nagaoka,25/07/1991,29,179,64,308.0,303,27
Sarina Koga,21/05/1996,24,180,67,302.0,290,22
Nana Iwasaka,03/07/1990,30,187,75,297.0,293,28
Risa Shinnabe,11/07/1990,30,173,64,292.0,285,28
Erika Shinomiya,03/08/1984,36,186,81,302.0,297,34
Yuki Ishii,08/05/1991,29,180,68,305.0,287,27
Mami Uchiseto,25/10/1991,29,170,74,295.0,285,27
Haruyo Shimamura,04/03/1992,28,182,78,297.0,290,26
Koyomi Iwasaki,01/05/1989,31,175,68,295.0,280,29
Yurie Nabeya,15/12/1993,27,176,55,305.0,292,25
Miya Sato,07/03/1990,30,175,62,278.0,275,28
Mai Okumura,31/10/1990,30,177,69,295.0,285,28
Kotoe Inoue,15/02/1990,30,162,55,286.0,275,28
Mako Kobata,15/08/1992,28,164,56,285.0,274,26
Rika Nomoto,21/09/1991,29,180,72,308.0,291,27
Saori Takahashi,09/12/1992,28,177,66,307.0,290,26
Mari Horikawa,03/05/1992,28,183,72,301.0,288,26
Arisa Inoue,08/05/1995,25,178,66,300.0,285,23
Ai Kurogo,14/06/1998,22,180,69,306.0,295,20
Kanami Tashiro,25/03/1991,29,173,66,284.0,273,27
Akane Moriya,08/01/1991,29,165,55,280.0,260,27
Aika Akutagawa,03/04/1991,29,180,62,300.0,280,27
Uxue Amaya Guereca Parra,12/02/2001,19,176,64,270.0,259,17
Lizette Lopez Robles,14/05/1990,30,164,65,275.0,245,28
Sanay Sashiko,13/05/1995,25,170,63,305.0,298,23
Ana Nieto,18/01/1994,26,182,61,298.0,291,24
Andrea Rangel,19/05/1993,27,180,57,297.0,289,25
Samantha Bricio,22/11/1994,26,185,58,302.0,283,24
Natalie Nizeth Nava Minjarez,19/10/2000,20,180,76,295.0,288,18
Dulce Carranza,29/06/1990,30,178,83,275.0,252,28
Diana Valdez,11/01/1997,23,174,64,290.0,276,21
Lizbeth Sainz,14/12/1995,25,178,55,295.0,285,23
Jocelyn Urias,16/02/1996,24,190,65,296.0,284,22
Joseline Landeros Palacios,20/12/2000,20,169,60,265.0,249,18
Monica Moreno Hernandez,27/04/1995,25,185,83,292.0,289,23
