name,link,date_of_birth,age,height,weight,spike,block,age_in_2018
Lenka Dürr,/en/competition/teams/ger-germany/players/lenka-d%c3%bcrr?id=69313,10/12/1990,30,171,59,280.0,270,28
Pia Kästner,/en/competition/teams/ger-germany/players/pia-k%c3%a4stner?id=69320,29/06/1998,22,182,68,297.0,286,20
Denise Hanke,/en/competition/teams/ger-germany/players/denise-hanke?id=69317,31/08/1989,31,183,73,297.0,284,29
Maren Fromm,/en/competition/teams/ger-germany/players/maren-fromm?id=69314,10/07/1986,34,184,68,303.0,295,32
Jana Franziska Poll,/en/competition/teams/ger-germany/players/jana-franziska-poll?id=69325,07/05/1988,32,185,69,310.0,290,30
Jennifer Geerties,/en/competition/teams/ger-germany/players/jennifer-geerties?id=69315,05/04/1994,26,184,58,298.0,288,24
Kathleen Weiß,/en/competition/teams/ger-germany/players/kathleen-wei%c3%9f?id=69331,02/02/1984,36,171,66,290.0,273,34
Kimberly Drewniok,/en/competition/teams/ger-germany/players/kimberly-drewniok?id=69312,11/08/1997,23,188,73,311.0,298,21
Nele Barber,/en/competition/teams/ger-germany/players/nele-barber?id=69311,27/10/1994,26,183,55,290.0,280,24
Lena Stigrot,/en/competition/teams/ger-germany/players/lena-stigrot?id=69328,20/12/1994,26,184,68,303.0,295,24
Louisa Lippmann,/en/competition/teams/ger-germany/players/louisa-lippmann?id=69322,23/09/1994,26,191,78,319.0,312,24
Hanna Orthmann,/en/competition/teams/ger-germany/players/hanna-orthmann?id=69323,03/10/1998,22,188,74,302.0,291,20
Saskia Hippe,/en/competition/teams/ger-germany/players/saskia-hippe?id=69318,16/01/1991,29,185,67,315.0,292,27
Marie Schölzel,/en/competition/teams/ger-germany/players/marie-sch%c3%b6lzel?id=69326,01/08/1997,23,188,66,307.0,299,21
Barbara Roxana Wezorke,/en/competition/teams/ger-germany/players/barbara-roxana-wezorke?id=69332,12/04/1993,27,185,75,305.0,290,25
Lisa Thomsen,/en/competition/teams/ger-germany/players/lisa-thomsen?id=69329,20/08/1985,35,172,68,290.0,285,33
Anna Pogany,/en/competition/teams/ger-germany/players/anna-pogany?id=69324,21/07/1994,26,170,60,280.0,270,24
Leonie Schwertmann,/en/competition/teams/ger-germany/players/leonie-schwertmann?id=69327,12/01/1994,26,190,80,300.0,290,24
Juliane Langgemach,/en/competition/teams/ger-germany/players/juliane-langgemach?id=69321,06/11/1994,26,188,73,295.0,285,24
Ivana Vanjak,/en/competition/teams/ger-germany/players/ivana-vanjak?id=69330,30/05/1995,25,190,70,315.0,306,23
Lisa Gründing,/en/competition/teams/ger-germany/players/lisa-gr%c3%bcnding?id=69316,02/12/1991,29,186,68,303.0,291,27
Denise Imoudu,/en/competition/teams/ger-germany/players/denise-imoudu?id=69319,14/12/1995,25,180,67,290.0,280,23
Miyu Nagaoka,/en/competition/teams/jpn-japan/players/miyu-nagaoka?id=68761,25/07/1991,29,179,64,308.0,303,27
Sarina Koga,/en/competition/teams/jpn-japan/players/sarina-koga?id=68748,21/05/1996,24,180,67,302.0,290,22
Nana Iwasaka,/en/competition/teams/jpn-japan/players/nana-iwasaka?id=68746,03/07/1990,30,187,75,297.0,293,28
Risa Shinnabe,/en/competition/teams/jpn-japan/players/risa-shinnabe?id=68755,11/07/1990,30,173,64,292.0,285,28
Erika Shinomiya,/en/competition/teams/jpn-japan/players/erika-shinomiya?id=68741,03/08/1984,36,186,81,302.0,297,34
Yuki Ishii,/en/competition/teams/jpn-japan/players/yuki-ishii?id=68745,08/05/1991,29,180,68,305.0,287,27
Mami Uchiseto,/en/competition/teams/jpn-japan/players/mami-uchiseto?id=68759,25/10/1991,29,170,74,295.0,285,27
Haruyo Shimamura,/en/competition/teams/jpn-japan/players/haruyo-shimamura?id=68754,04/03/1992,28,182,78,297.0,290,26
Koyomi Iwasaki,/en/competition/teams/jpn-japan/players/koyomi-iwasaki?id=68758,01/05/1989,31,175,68,295.0,280,29
Yurie Nabeya,/en/competition/teams/jpn-japan/players/yurie-nabeya?id=68750,15/12/1993,27,176,55,305.0,292,25
Miya Sato,/en/competition/teams/jpn-japan/players/miya-sato?id=68753,07/03/1990,30,175,62,278.0,275,28
Mai Okumura,/en/competition/teams/jpn-japan/players/mai-okumura?id=68752,31/10/1990,30,177,69,295.0,285,28
Kotoe Inoue,/en/competition/teams/jpn-japan/players/kotoe-inoue?id=68744,15/02/1990,30,162,55,286.0,275,28
