index,cohorte_passage,gd_discipline,reussite_3_ans,passage_en_l2_2_ans,reussite_3_4_ans,reorientation_en_dut,redoublement_en_l1,effectif_neobacheliers_reussite,discipline_lib,effectif_neobacheliers_passage,sexe_lib,serie_bac,gd_discipline_lib,age_au_bac_lib,passage_en_l2_1_2_ans,discipline,sexe,mention_bac,age_au_bac,passage_en_l2_1_an,reorientation_en_dut_1_an,reorientation_en_dut_2_ans,sect_disciplinaire_lib,reussite_4_ans,serie_bac_lib,mention_bac_lib,sect_disciplinaire,cohorte_reussite
0,2014,LLSH,0.0,0.0,0.0,0.0,0.0,3.0,Langues,1.0,Homme,4,"Lettres, langues et sciences humaines",En retard d'un an,0.0,5,1,Q,R1,0.0,0.0,0.0,Langues et littératures étrangères,0.0,BAC STMG,Inconnue,23,2012
1,2014,LLSH,0.0,0.0,1.0,1.0,4.0,16.0,Sciences humaines et sociales,10.0,Homme,4,"Lettres, langues et sciences humaines",En retard d'un an,0.0,6,1,P,R1,0.0,1.0,0.0,"Sociologie, démographie",1.0,BAC STMG,Passable deuxième groupe,33,2012
2,2014,LLSH,1.0,1.0,1.0,0.0,1.0,4.0,Langues,3.0,Femme,5,"Lettres, langues et sciences humaines",En retard de plus d'un an,3.0,5,2,Q,R2,2.0,0.0,0.0,Langues et littératures étrangères,0.0,BAC technologique hors STMG,Inconnue,23,2012
3,2014,LLSH,1.0,,1.0,,,1.0,Langues,,Homme,6,"Lettres, langues et sciences humaines",Non pris en compte,,5,1,A,R4,,,,Langues et littératures étrangères,0.0,BAC professionnel,Très bien,23,2012
4,2014,LLSH,1.0,1.0,2.0,1.0,12.0,29.0,Sciences humaines et sociales,21.0,Femme,5,"Lettres, langues et sciences humaines",En retard de plus d'un an,2.0,6,2,P,R2,1.0,1.0,0.0,"Sociologie, démographie",1.0,BAC technologique hors STMG,Passable deuxième groupe,33,2012
5,2014,LLSH,,0.0,,0.0,0.0,,Sciences humaines et sociales,9.0,Homme,2,"Lettres, langues et sciences humaines",A l'heure ou en avance,9.0,6,1,C,R0,9.0,0.0,0.0,Sciences de l'éducation,,BAC ES,Assez bien,34,2012
6,2014,LLSH,48.0,20.0,86.0,3.0,39.0,206.0,Langues,144.0,Femme,2,"Lettres, langues et sciences humaines",En retard d'un an,86.0,5,2,D,R1,66.0,2.0,1.0,Langues étrangères appliquées,38.0,BAC ES,Passable premier groupe,24,2012
7,2014,LLSH,2.0,1.0,2.0,0.0,2.0,6.0,Langues,10.0,Femme,2,"Lettres, langues et sciences humaines",En retard d'un an,4.0,5,2,Q,R1,3.0,0.0,0.0,Langues étrangères appliquées,0.0,BAC ES,Inconnue,24,2012
8,2014,LLSH,0.0,0.0,0.0,0.0,0.0,2.0,Sciences humaines et sociales,3.0,Homme,4,"Lettres, langues et sciences humaines",En retard d'un an,1.0,6,1,D,R1,1.0,0.0,0.0,Sciences de l'éducation,0.0,BAC STMG,Passable premier groupe,34,2012
9,2014,LLSH,1.0,0.0,1.0,0.0,1.0,5.0,Sciences humaines et sociales,5.0,Femme,5,"Lettres, langues et sciences humaines",En retard de plus d'un an,0.0,6,2,P,R2,0.0,0.0,0.0,Sciences de l'éducation,0.0,BAC technologique hors STMG,Passable deuxième groupe,34,2012
